RT title,imdb_title,year,length,budget,rating,votes,rlow,rmed,rhigh,mpaa_kid,mpaa_adult,Action,Animation,Comedy,Drama,Documentary,Romance,Short,cast1,cast2,cast3
Drugstore Cowboy,Drugstore Cowboy,1989,100,2500000,7.4,4999,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Matt Dillon,Kelly Lynch,James LeGros
Drumline,Drumline,2002,118,20000000,5.3,7368,23.5,48.0,13.5,1,0,0,0,1,1,0,1,0,Nick Cannon,Zoe Saldana,Orlando Jones
"Dude, Where's My Car?",Dude Wheres My Car,2000,83,13000000,4.6,13330,23.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Ashton Kutcher,Seann William Scott,Kristy Swanson
Dudley Do-Right,Dudley DoRight,1999,77,22000000,3.6,1790,43.5,38.0,13.5,1,0,0,0,1,0,0,0,0,Brendan Fraser,Sarah Jessica Parker,Alfred Molina
Duets,Duets,2000,112,15000000,5.8,2414,13.5,58.0,23.5,1,0,0,0,1,1,0,0,0,Maria Bello,Andre Braugher,Paul Giamatti
Dumber and Dumber To,Dumb  Dumber,1994,101,16000000,6.6,27713,13.5,38.0,43.5,1,0,0,0,1,0,0,0,0,Jim Carrey,Jeff Daniels,Kathleen Turner
Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer When Harry Met Lloyd,2003,85,19000000,3.3,4689,63.5,18.0,13.5,1,0,0,0,1,0,0,0,0,Eric Christian Olsen,Derek Richardson,Rachel Nichols
Dune,Dune,1984,190,45000000,6.3,16903,13.5,38.0,43.5,1,0,1,0,0,0,0,0,0,Francesca Annis,Leo Cimino,Brad Dourif
Dungeons & Dragons,Dungeons  Dragons,2000,107,35000000,4,7435,43.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Justin Whalin,Marlon Wayans,Zoe McLellan
Duplex (Our House),Duplex,2003,89,40000000,5.7,4334,13.5,68.0,13.5,1,0,0,0,1,0,0,0,0,Ben Stiller,Drew Barrymore,Eileen Essell
The Dying Gaul,Dying Gaul The,2005,101,4000000,4.3,70,33.5,23.5,53.5,1,0,0,0,0,1,0,1,0,Patricia Clarkson,Campbell Scott,Peter Sarsgaard
E-Mail Prowler,Email,2000,109,1000000,4.1,33,33.5,38.0,23.5,1,0,0,0,1,0,0,1,0,Au Yeung Yiu Lun,Chan Yan-Yan,Tsang Siu Yin
E.T. The Extra-Terrestrial,ET the ExtraTerrestrial,1982,120,10500000,7.8,44175,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Henry Thomas,Dee Wallace,Peter Coyote
Earth Girls Are Easy,Earth Girls Are Easy,1988,100,10000000,5,3952,13.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Geena Davis,Jeff Goldblum,Julie Brown
Ed Wood,Ed Wood,1994,127,18000000,8,22612,13.5,28.0,73.5,1,0,0,0,1,1,0,0,0,Johnny Depp,Martin Landau,Sarah Jessica Parker
Ed and His Dead Mother,Ed and His Dead Mother,1993,86,1800000,5.3,413,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Steve Buscemi,Ned Beatty,Miriam Margolyes
Eddie,Eddie,1996,100,30000000,4.9,1348,13.5,68.0,13.5,1,0,0,0,1,0,0,0,0,Whoopi Goldberg,Frank Langella,Dennis Farina
Edges of the Lord,Edges of the Lord,2001,95,7500000,7,639,13.5,28.0,53.5,1,0,0,0,0,1,0,0,0,Haley Joel Osment,Willem Dafoe,Olaf Lubaszenko
EdTV,Edtv,1999,122,60000000,6.2,10085,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Matthew McConaughey,Jenna Elfman,Woody Harrelson
Edward Scissorhands,Edward Scissorhands,1990,105,20000000,7.7,27017,13.5,28.0,63.5,1,0,0,0,0,1,0,1,0,Johnny Depp,Winona Ryder,Dianne Wiest
Eight Legged Freaks,Eight Legged Freaks,2002,99,30000000,5.5,6362,13.5,68.0,23.5,1,0,1,0,1,0,0,0,0,David Arquette,Kari Wuhrer,Scott Terra
Eight Men Out,Eight Men Out,1988,119,6000000,7.3,3689,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,John Cusack,Clifton James,David Strathairn
The Eighteenth Angel,Eighteenth Angel The,1998,95,25000000,4.6,557,23.5,58.0,13.5,1,0,1,0,0,0,0,0,0,Wendy Crewson,Christopher McDonald,Stanley Tucci
Election,Election,1999,103,8500000,7.4,17521,13.5,38.0,53.5,1,0,0,0,1,0,0,0,0,Matthew Broderick,Reese Witherspoon,Chris Klein
Elektra,Elektra,2005,96,43000000,4.9,5120,23.5,58.0,23.5,1,0,1,0,0,0,0,0,0,Jennifer Garner,Goran Visnjic,Will Yun Lee
Elephant,Elephant,2003,81,3000000,7.3,9203,13.5,28.0,53.5,1,0,0,0,0,1,0,0,0,Alex Frost,Eric Deulen,John Robinson (IX)
The Elephant Man,Elephant Man The,1980,124,5000000,8.2,16422,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Anthony Hopkins,John Hurt,Anne Bancroft
Elf,Elf,2003,95,33000000,7,10165,13.5,48.0,53.5,1,0,0,0,1,0,0,0,0,Will Ferrell,Edward Asner,James Caan
Elizabeth,Elizabeth,1998,124,25000000,7.6,14733,13.5,28.0,53.5,1,0,0,0,0,1,0,0,0,Cate Blanchett,Geoffrey Rush,Christopher Eccleston
Ella Enchanted,Ella Enchanted,2004,96,35000000,6.5,2502,13.5,48.0,33.5,1,0,0,0,1,0,0,1,0,Anne Hathaway,Hugh Dancy,Cary Elwes
Elvira's Haunted Hills,Elviras Haunted Hills,2001,90,1500000,5.2,307,13.5,48.0,23.5,1,0,0,0,1,0,0,0,0,Cassandra Peterson,Richard O'Brien,Mary Scheer
"Elvira, Mistress of the Dark",Elvira Mistress of the Dark,1988,96,20000000,5.3,1238,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Cassandra Peterson,Edie McClurg,Pat Crawford Brown
Emma,Emma,1996,121,6000000,6.9,6431,13.5,48.0,53.5,1,0,0,0,1,0,0,1,0,Gwyneth Paltrow,Jeremy Northam,Toni Collette
Emmett's Mark (Killing Emmett Young),Emmetts Mark,2002,104,4500000,6.2,427,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Khandi Alexander,Gabriel Byrne,Tim Roth
The Emperor's Club,Emperors Club The,2002,109,12500000,6.7,3056,13.5,48.0,33.5,1,0,0,0,0,1,0,0,0,Kevin Kline,Emile Hirsch,Jesse Eisenberg
The Emperor's New Groove,Emperors New Groove The,2000,78,100000000,7.4,8532,13.5,48.0,53.5,1,0,0,1,1,0,0,0,0,David Spade,John Goodman,Eartha Kitt
Empire,Empire,2002,90,3500000,6,1718,13.5,68.0,23.5,1,0,1,0,0,1,0,0,0,John Leguizamo,Peter Sarsgaard,Denise Richards
Empire of the Sun,Empire of the Sun,1987,154,38000000,7.5,9963,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Christian Bale,John Malkovich,Miranda Richardson
En la Puta Vida,En la puta vida,2001,103,1500000,6.9,117,13.5,48.0,43.5,1,0,0,0,1,1,0,0,0,Mariana Santangelo,Silvestre,Joseph Linuesa
End of Days,End of Days,1999,121,83000000,5.3,18237,13.5,68.0,13.5,1,0,1,0,0,0,0,0,0,Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney
The End of Violence,End of Violence The,1997,122,5000000,5.4,1575,13.5,48.0,23.5,1,0,0,0,0,1,0,0,0,Bill Pullman,Andie MacDowell,Gabriel Byrne
The End of the Affair,End of the Affair The,1999,102,23000000,7,4808,13.5,48.0,53.5,1,0,0,0,0,1,0,1,0,Ralph Fiennes,Julianne Moore,Stephen Rea
Enemy at the Gates,Enemy at the Gates,2001,131,70000000,7.3,19169,13.5,48.0,53.5,1,0,1,0,0,1,0,1,0,Joseph Fiennes,Jude Law,Rachel Weisz
Enemy of the State,Enemy of the State,1998,131,90000000,7.1,23263,13.5,48.0,43.5,1,0,1,0,0,1,0,0,0,Will Smith,Gene Hackman,Jon Voight
The English Patient,English Patient The,1996,160,27000000,7.1,25210,13.5,28.0,53.5,1,0,0,0,0,1,0,1,0,Ralph Fiennes,Juliette Binoche,Willem Dafoe
Enough,Enough,2002,115,38000000,4.9,4339,23.5,48.0,13.5,1,0,0,0,0,1,0,0,0,Jennifer Lopez,Bill Campbell,Juliette Lewis
Entrapment,Entrapment,1999,113,66000000,6.1,18543,13.5,68.0,23.5,1,0,0,0,1,0,0,1,0,Sean Connery,Catherine Zeta-Jones,Ving Rhames
Envy,Envy,2004,99,40000000,4.3,3417,33.5,48.0,13.5,1,0,0,0,1,0,0,0,0,Ben Stiller,Jack Black,Rachel Weisz
Equilibrium,Equilibrium,2002,107,20000000,7.6,17579,13.5,28.0,63.5,1,0,1,0,0,0,0,0,0,Christian Bale,Emily Watson,Taye Diggs
Tsui Hark's Vampire Hunters (The Era of Vampires),Era of Vampire The,2002,90,1000000,4.2,329,33.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Ken Chang,Michael Chow Man-Kin,Suet Lam
Eraser,Eraser,1996,115,100000000,5.8,14641,13.5,68.0,23.5,1,0,1,0,0,1,0,0,0,Arnold Schwarzenegger,James Caan,Vanessa L. Williams
Erin Brockovich,Erin Brockovich,2000,130,51000000,7.3,24301,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Julia Roberts,Albert Finney,Aaron Eckhart
Ernest Goes to Camp,Ernest Goes to Camp,1987,92,3000000,4.4,1562,13.5,48.0,23.5,1,0,0,0,1,0,0,0,0,Jim Varney,Victoria Racimo,John Vernon
Ernest Rides Again,Ernest Rides Again,1993,96,7000000,3.6,250,33.5,38.0,23.5,1,0,0,0,1,0,0,0,0,Jim Varney,Linda Kash,Tom Butler
Ernest Saves Christmas,Ernest Saves Christmas,1988,95,6000000,4.6,1125,13.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Jim Varney,Douglas Seale,Oliver Clark
Escanaba in da Moonlight,Escanaba in da Moonlight,2001,91,1000000,5.5,373,13.5,18.0,43.5,1,0,0,0,1,0,0,0,0,Jeff Daniels,Harve Presnell,Joey Albright
Escape from L.A.,Escape from LA,1996,101,50000000,4.8,7955,23.5,58.0,13.5,1,0,1,0,0,0,0,0,0,Kurt Russell,Stacy Keach,Steve Buscemi
Escape from New York,Escape from New York,1981,99,6000000,6.8,9924,13.5,48.0,53.5,1,0,1,0,0,0,0,0,0,Kurt Russell,Lee Van Cleef,Ernest Borgnine
The Devil's Backbone (El Espinazo del diablo),Espinazo del diablo El,2001,108,4500000,7.4,3474,13.5,48.0,63.5,1,0,0,0,0,1,0,0,0,Marisa Paredes,Eduardo Noriega,Federico Luppi
Eternal Sunshine Of The Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,108,20000000,8.6,46240,13.5,18.0,83.5,1,0,0,0,1,1,0,1,0,Jim Carrey,Kate Winslet,Kirsten Dunst
Eulogy,Eulogy,2004,91,10000000,6.5,773,13.5,48.0,43.5,1,0,0,0,1,1,0,0,0,Hank Azaria,Jesse Bradford,Zooey Deschanel
Eurotrip,EuroTrip,2004,90,25000000,6.1,8390,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg
Eve's Bayou,Eves Bayou,1997,109,5000000,7.2,2302,13.5,38.0,53.5,1,0,0,0,0,1,0,0,0,Jurnee Smollett,Meagan Good,Samuel L. Jackson
Evelyn,Evelyn,2002,94,10000000,7.1,1163,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Pierce Brosnan,Aidan Quinn,Julianna Margulies
Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,1993,99,8000000,4,1609,43.5,38.0,13.5,1,0,0,0,1,1,0,1,0,Uma Thurman,John Hurt,Rain Phoenix
Event Horizon,Event Horizon,1997,96,70000000,5.7,15510,13.5,48.0,23.5,1,0,0,0,0,0,0,0,0,Laurence Fishburne,Sam Neill,Kathleen Quinlan
Ever After: A Cinderella Story,Ever After,1998,121,26000000,7,10250,13.5,38.0,53.5,1,0,0,0,1,1,0,1,0,Drew Barrymore,Anjelica Huston,Dougray Scott
An Everlasting Piece,Everlasting Piece An,2000,103,14000000,6.1,475,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,Barry McEvoy,Brian F. O'Byrne,Anna Friel
Everyone Says I Love You,Everyone Says I Love You,1996,101,20000000,6.9,7314,13.5,48.0,53.5,1,0,0,0,1,0,0,1,0,Edward Norton,Alan Alda,Woody Allen
Evil Dead 2,Evil Dead II,1987,85,3500000,7.6,15743,13.5,28.0,63.5,1,0,1,0,1,0,0,0,0,Bruce Campbell,Sarah Berry,Dan Hicks
Evita,Evita,1996,134,55000000,6.2,8371,13.5,38.0,53.5,1,0,0,0,0,1,0,0,0,Madonna,Antonio Banderas,Jonathan Pryce
Evolution,Evolution,2001,101,80000000,5.8,14232,13.5,68.0,23.5,1,0,0,0,1,0,0,0,0,David Duchovny,Orlando Jones,Seann William Scott
Excessive Force,Excessive Force,1993,90,13000000,4.2,214,13.5,58.0,13.5,1,0,1,0,0,0,0,0,0,Thomas Ian Griffith,Lance Henriksen,James Earl Jones
Executive Decision,Executive Decision,1996,134,55000000,6.3,7653,13.5,68.0,23.5,1,0,1,0,0,0,0,0,0,Kurt Russell,Halle Berry,John Leguizamo
Exit Wounds,Exit Wounds,2001,101,33000000,5.3,5370,13.5,68.0,13.5,1,0,1,0,0,0,0,0,0,Steven Seagal,DMX,Isaiah Washington
Exorcist - The Beginning,Exorcist The Beginning,2004,114,30000000,5,4130,23.5,58.0,13.5,1,0,1,0,0,0,0,0,0,Stellan Skarsgard,Izabella Scorupco,James D'Arcy
Extreme Measures,Extreme Measures,1996,118,38000000,5.9,3417,13.5,68.0,23.5,1,0,0,0,0,0,0,0,0,Hugh Grant,Gene Hackman,Sarah Jessica Parker
Extreme Ops,Extreme Ops,2002,94,40000000,4,1337,43.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Devon Sawa,Bridgette Wilson-Sampras,Rupert Graves
Eye For An Eye,Eye for an Eye,1996,101,20000000,5.6,1843,13.5,58.0,23.5,1,0,0,0,0,1,0,0,0,Sally Field,Kiefer Sutherland,Ed Harris
Eye of the Beholder,Eye of the Beholder,1999,109,15000000,4.5,5549,33.5,48.0,13.5,1,0,0,0,0,0,0,0,0,Ewan McGregor,Ashley Judd,Patrick Bergin
Eyes Wide Shut,Eyes Wide Shut,1999,159,65000000,7,37868,13.5,38.0,43.5,1,0,0,0,0,1,0,0,0,Tom Cruise,Nicole Kidman,Sydney Pollack
Facade,Facade,2000,93,6000000,4.8,93,33.5,38.0,23.5,1,0,1,0,0,0,0,0,0,Brian Bedard,Shannon Coltrane,Patrick J. Adams
Face/Off,FaceOff,1997,133,80000000,7.1,37506,13.5,48.0,53.5,1,0,1,0,0,1,0,0,0,John Travolta,Nicolas Cage,Joan Allen
Factotum,Factotum,2005,94,1000000,6.8,60,23.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Matt Dillon,Lili Taylor,Marisa Tomei
The Faculty,Faculty The,1998,104,15000000,6.1,13143,13.5,68.0,23.5,1,0,0,0,0,0,0,0,0,Michelle Holmes,Famke Janssen,Piper Laurie
Fahrenheit 9/11,Fahrenheit 911,2004,122,6000000,7.9,34666,23.5,18.0,73.5,1,0,0,0,0,0,1,0,0,Michael Moore,George W. Bush,Britney Spears
Fair Game,Fair Game,1995,91,50000000,3.9,2579,43.5,48.0,13.5,1,0,1,0,1,1,0,0,0,Naomi Watts,Sean Penn,Bruce McGill
Faithful,Faithful,1996,91,13000000,5.6,414,13.5,58.0,33.5,1,0,0,0,1,0,0,0,0,Cher,Chazz Palminteri,Ryan O'Neal
Fakers,Fakers,2004,85,1800000,5.6,58,9.0,18.0,73.5,1,0,0,0,1,0,0,0,0,Matthew Rhys,Kate Ashfield,Tom Chambers
Transformers: Revenge of the Fallen,Fall,1997,93,1000000,5.1,495,33.5,18.0,43.5,1,0,0,0,0,1,0,1,0,Shia LaBeouf,Megan Fox,Josh Duhamel
Transformers: Revenge of the Fallen,Fall,2000,97,2000000,1.5,249,83.5,18.0,23.5,1,0,1,0,0,0,0,0,0,Shia LaBeouf,Megan Fox,Josh Duhamel
The Family Man,Family Man The,2000,125,60000000,6.5,11220,13.5,58.0,23.5,1,0,0,0,1,1,0,1,0,Nicolas Cage,Tea Leoni,Don Cheadle
Fantastic Four: Rise of the Silver Surfer,Fan The,1996,114,55000000,5.4,6920,13.5,78.0,13.5,1,0,0,0,0,0,0,0,0,Ioan Gruffudd,Jessica Alba,Chris Evans
Fantasia,Fantasia2000,1999,75,80000000,7.4,5353,13.5,38.0,53.5,1,0,0,1,0,0,0,0,0,Leopold Stokowski,Bela Lugosi,Philadelphia Symphony Orchestra
Il Fantasma dell'Opera (The Phantom of the Opera),Fantasma dellopera Il,1998,106,10000000,3.8,910,43.5,48.0,13.5,1,0,0,0,0,1,0,1,0,Julian Sands,Asia Argento,Andrea Di Stefano
Far and Away,Far and Away,1992,140,30000000,6.2,8556,13.5,58.0,23.5,1,0,0,0,0,1,0,1,0,Tom Cruise,Nicole Kidman,Thomas Gibson
Far From Heaven,Far from Heaven,2002,107,13500000,7.7,9167,13.5,28.0,53.5,1,0,0,0,0,1,0,1,0,Julianne Moore,Dennis Quaid,Dennis Haysbert
Fargo,Fargo,1996,98,7000000,8.2,65597,13.5,28.0,73.5,1,0,0,0,0,1,0,0,0,Frances McDormand,William H. Macy,Steve Buscemi
Fascination,Fascination,2004,95,5000000,3.3,124,33.5,18.0,33.5,1,0,0,0,0,1,0,1,0,Jacqueline Bisset,Adam Garcia,Alice Evans
Fast Food High,Fast Food High,2003,92,4500000,5.4,23,19.0,48.0,23.5,1,0,0,0,1,1,0,1,0,Alison Pill,John White,Sarah Gadon
Fast Times At Ridgemont High,Fast Times at Ridgemont High,1982,90,4500000,7.1,10361,13.5,48.0,53.5,1,0,0,0,1,0,0,0,0,Sean Penn,Jennifer Jason Leigh,Judge Reinhold
The Fast and the Furious: Tokyo Drift,Fast and the Furious The,2001,106,38000000,5.7,21428,13.5,48.0,33.5,1,0,1,0,0,0,0,0,0,Lucas Black,Bow Wow,Nathalie Kelley
Fatal Attraction,Fatal Attraction,1987,123,14000000,6.7,8541,13.5,58.0,33.5,1,0,0,0,0,1,0,0,0,Michael Douglas,Glenn Close,Anne Archer
Father of the Bride Part II,Father of the Bride Part II,1995,106,30000000,5.6,4089,13.5,58.0,13.5,1,0,0,0,1,0,0,0,0,Steve Martin,Diane Keaton,Martin Short
Fathers' Day,Fathers Day,1997,98,85000000,4.7,2714,13.5,68.0,13.5,1,0,0,0,1,0,0,0,0,Robin Williams,Billy Crystal,Julia Louis-Dreyfus
Faust: Love of the Damned,Faust Love of the Damned,2001,101,6000000,4.1,628,33.5,58.0,13.5,1,0,0,0,0,0,0,0,0,Mark Frost,Isabel Brook,Jeffrey Combs
Fear X,Fear X,2003,91,6600000,5.9,742,13.5,48.0,23.5,1,0,0,0,0,0,0,0,0,John Turturro,Deborah Kara Unger,Stephen Eric McIntyre
Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,1998,118,18500000,7.2,21484,13.5,28.0,53.5,1,0,0,0,1,1,0,0,0,Johnny Depp,Benicio Del Toro,Craig Bierko
fear dot com (FeardotCom),FearDotCom,2002,101,42000000,3.2,5126,63.5,38.0,13.5,1,0,0,0,0,0,0,0,0,Stephen Dorff,Natascha McElhone,Stephen Rea
Fei ying (Silver Hawk),Fei ying,2004,99,15000000,5.5,128,13.5,68.0,23.5,1,0,1,0,0,0,0,0,0,Michelle Yeoh,Luke Goss,Chen Daming
Femme Fatale,Femme Fatale,2002,114,35000000,6.4,6083,13.5,58.0,23.5,1,0,0,0,0,0,0,0,0,Rebecca Romijn,Antonio Banderas,Peter Coyote
The Celebration (Festen),Festen,1998,105,1300000,8.2,11983,13.5,18.0,73.5,1,0,0,0,0,1,0,0,0,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen
Fever,Fever,1999,95,6000000,5.7,248,13.5,38.0,43.5,1,0,0,0,0,0,0,0,0,Henry Thomas,David O'Hara,Bill Duke
Fever Pitch,Fever Pitch,2005,98,39690000,6.6,1712,13.5,38.0,53.5,1,0,0,0,1,0,0,1,0,Colin Firth,Ruth Gemmell,Neil Pearson
A Few Good Men,Few Good Men A,1992,138,33000000,7.5,25237,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Tom Cruise,Jack Nicholson,Demi Moore
Graffiti Verite 8: The Fifth Element - The Art of the BeatBoxer,Fifth Element The,1997,126,90000000,7.1,55398,13.5,38.0,53.5,1,0,1,0,0,1,0,0,0,Click88,Joshua Silverstein,Pretty Chi
Fight Club,Fight Club,1999,139,63000000,8.5,112092,13.5,18.0,83.5,1,0,0,0,0,1,0,0,0,Edward Norton,Brad Pitt,Helena Bonham Carter
Final Destination,Final Destination,2000,98,23000000,6.6,16504,13.5,48.0,33.5,1,0,0,0,0,0,0,0,0,Devon Sawa,Amanda Detmer,Chad E. Donella
Final Destination 2,Final Destination 2,2003,90,26000000,6.3,8481,13.5,68.0,23.5,1,0,0,0,0,0,0,0,0,Ali Larter,A.J. Cook,Michael Landes
Final Fantasy - The Spirits Within,Final Fantasy The Spirits Within,2001,106,137000000,6.5,16451,13.5,48.0,33.5,1,0,1,1,0,0,0,0,0,Ming-Na Wen,Alec Baldwin,Ving Rhames
Final Solution,Final Solution,2001,110,1500000,7,32,4.5,43.5,53.5,1,0,1,0,0,1,0,0,0,Jan Ellis,Bruce Marchiano,John Kani
Finding Forrester,Finding Forrester,2000,136,43000000,7.3,13439,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Sean Connery,Rob Brown (VI),F Murray Abraham
Finding Graceland,Finding Graceland,1998,106,10000000,6.6,504,13.5,48.0,43.5,1,0,0,0,0,1,0,0,0,Harvey Keitel,Johnathon Schaech,Bridget Fonda
Finding Nemo,Finding Nemo,2003,100,94000000,8.3,41846,13.5,28.0,73.5,1,0,0,1,1,1,0,0,0,Albert Brooks,Ellen DeGeneres,Alexander Gould
Firefox,Firefox,1982,136,21000000,5.5,3401,13.5,78.0,13.5,1,0,1,0,0,0,0,0,0,Clint Eastwood,Freddie Jones,David Huffman
Firestarter,Firestarter,1984,101,15000000,5.6,2839,13.5,68.0,13.5,1,0,0,0,0,0,0,0,0,David Keith,Drew Barrymore,George C. Scott
Firestorm,Firestorm,1998,89,19000000,4.4,987,33.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Howie Long,Scott Glenn,William Forsythe
Die verliebte Firma (The Company's in Love),Firm The,1993,154,42000000,6.6,14708,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Gustav Frohlich,Anny Ahlers,Lien Deyers
First Blood (Rambo: First Blood),First Blood,1982,97,14000000,6.8,11956,13.5,48.0,43.5,1,0,1,0,0,1,0,0,0,Sylvester Stallone,Richard Crenna,Brian Dennehy
First Knight,First Knight,1995,134,75000000,5.6,8708,13.5,58.0,23.5,1,0,0,0,0,1,0,1,0,Sean Connery,Richard Gere,Julia Ormond
The First Power,First Power The,1990,98,10000000,4.8,513,13.5,68.0,13.5,1,0,0,0,0,0,0,0,0,Lou Diamond Phillips,Tracy Griffith,Jeff Kober
The First Wives Club,First Wives Club The,1996,103,26000000,5.6,6434,13.5,48.0,23.5,1,0,0,0,1,0,0,0,0,Bette Midler,Goldie Hawn,Diane Keaton
The First of May,First of May The,1999,111,2500000,7.1,88,13.5,28.0,63.5,1,0,0,0,0,1,0,0,0,Julie Harris,Dan Byrd,Mickey Rooney
A Fish Called Wanda,Fish Called Wanda A,1988,108,7500000,7.7,25035,13.5,38.0,53.5,1,0,0,0,1,0,0,0,0,John Cleese,Jamie Lee Curtis,Kevin Kline
The Fisher King,Fisher King The,1991,137,24000000,7.4,11952,13.5,38.0,53.5,1,0,0,0,1,1,0,1,0,Robin Williams,Jeff Bridges,Mercedes Ruehl
Fiza,Fiza,2000,167,1000000,7.1,132,13.5,48.0,53.5,1,0,0,0,0,1,0,0,0,Karisma Kapoor,Jaya Bhaduri,Hrithik Roshan
Flash Gordon,Flash Gordon,1980,111,35000000,5.7,5626,13.5,48.0,33.5,1,0,1,0,0,0,0,0,0,Sam J. Jones,Melody Anderson,Topol
Flawless,Flawless,1999,112,27000000,6.1,3287,13.5,58.0,23.5,1,0,0,0,1,1,0,0,0,Demi Moore,Michael Caine,Lambert Wilson
Flight of the Phoenix,Flight of the Phoenix,2004,113,45000000,6,2732,13.5,68.0,23.5,1,0,1,0,0,0,0,0,0,Dennis Quaid,Tyrese Gibson,Giovanni Ribisi
The Flintstones in Viva Rock Vegas,Flintstones in Viva Rock Vegas The,2000,90,58000000,3.7,1712,43.5,38.0,13.5,1,0,0,0,1,0,0,0,0,Mark Addy,Stephen Baldwin,Kristen Johnston
The Flintstones,Flintstones The,1994,91,45000000,4.5,8704,23.5,58.0,13.5,1,0,0,0,1,0,0,0,0,John Goodman,Elizabeth Perkins,Rick Moranis
Flirting With Disaster,Flirting with Disaster,1996,92,7000000,7,3986,13.5,48.0,43.5,1,0,0,0,1,0,0,0,0,Ben Stiller,Patricia Arquette,Tea Leoni
Pandora and the Flying Dutchman,Flying Dutchman The,2001,89,2000000,3.6,59,53.5,28.0,13.5,1,0,0,0,0,0,0,0,0,James Mason,Ava Gardner,Nigel Patrick
Foghat: The Millennium Tour,Fog The,1980,89,1000000,6.5,4618,13.5,48.0,33.5,1,0,0,0,0,0,0,0,0,Alan Ames,Bryan Bassett,Dave Peverett
Food of the Gods II,Food of the Gods II,1989,91,3500000,1.9,173,63.5,18.0,13.5,1,0,0,0,0,0,0,0,0,Colin Fox,David B. Nichols,Frank Pellegrino
For Love of the Game,For Love of the Game,1999,137,50000000,6.1,5782,13.5,58.0,23.5,1,0,0,0,0,1,0,1,0,Kevin Costner,Kelly Preston,John C. Reilly
For Your Eyes Only,For Your Eyes Only,1981,127,28000000,6.7,8061,13.5,58.0,23.5,1,0,1,0,0,0,0,0,0,Roger Moore,Carole Bouquet,Topol
Forced March,Forced March,1989,104,2700000,4,16,19.0,33.5,49.0,1,0,0,0,0,1,0,0,0,Chris Sarandon,Renee Soutendijk,John Seitz
Forever Lulu,Forever Lulu,2000,99,20000000,5.5,257,13.5,58.0,33.5,1,0,0,0,1,0,0,1,0,Melanie Griffith,Patrick Swayze,Penelope Ann Miller
The Forgotten,Forgotten The,2004,94,42000000,5.8,8234,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Julianne Moore,Dominic West,Gary Sinise
Forrest Gump,Forrest Gump,1994,142,55000000,8.2,89722,13.5,28.0,83.5,1,0,0,0,1,1,0,0,0,Tom Hanks,Robin Wright,Gary Sinise
The Forsaken,Forsaken The,2001,90,5000000,5.1,1928,23.5,58.0,13.5,1,0,0,0,0,0,0,0,0,Kerr Smith,Brendan Fehr,Izabella Miko
Fortress,Fortress,1993,95,12000000,5.3,2577,13.5,68.0,13.5,1,0,1,0,0,0,0,0,0,Christopher Lambert,Loryn Locklin,Kurtwood Smith
Fortress 2: Re-entry,Fortress 2,1999,92,11000000,4.2,1027,33.5,48.0,13.5,1,0,1,0,0,0,0,0,0,Christopher Lambert,Pam Grier,Patrick Malahide
Forty Shades of Blue,Forty Shades of Blue,2005,108,1500000,4.2,57,33.5,28.0,43.5,1,0,0,0,0,0,0,0,0,Rip Torn,Dina Korzun,Darren E. Burrows
The Four Feathers,Four Feathers The,2002,125,80000000,6.2,4400,13.5,68.0,23.5,1,0,0,0,0,1,0,0,0,Heath Ledger,Wes Bentley,Kate Hudson
Four Rooms,Four Rooms,1995,98,4000000,6,10675,13.5,48.0,33.5,1,0,0,0,1,1,0,0,0,Tim Roth,Valeria Golino,Jennifer Beals
