RT_title,mpaa_kid,mpaa_adult,cast1,cast2,cast3,imdb_title,year,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Conspiracy Theory,1,0,Mel Gibson,Julia Roberts,Patrick Stewart,Conspiracy Theory,1997,135,75000000,6.4,15470,13.5,48.0,23.5,0,0,0,1,0,1,0
Constantine,1,0,Keanu Reeves,Rachel Weisz,Shia LaBeouf,Constantine,2005,121,100000000,6.4,11633,13.5,48.0,43.5,1,0,0,1,0,0,0
Contact,1,0,Jodie Foster,Matthew McConaughey,James Woods,Contact,1997,153,90000000,7.3,36390,13.5,28.0,63.5,0,0,0,1,0,0,0
The Contender,1,0,Joan Allen,Gary Oldman,Jeff Bridges,Contender The,2000,126,9000000,6.9,7023,13.5,48.0,43.5,0,0,0,1,0,0,0
Cool as Ice,1,0,Vanilla Ice,Kristen Minter,Michael Gross,Cool as Ice,1991,100,6000000,2.4,1280,63.5,18.0,33.5,0,0,1,1,0,1,0
Cop Land,1,0,Sylvester Stallone,Harvey Keitel,Ray Liotta,Cop Land,1997,116,15000000,6.7,12677,13.5,58.0,33.5,0,0,0,1,0,0,0
Copycat,1,0,Sigourney Weaver,Holly Hunter,Dermot Mulroney,Copycat,1995,123,20000000,6.5,7804,13.5,68.0,33.5,0,0,0,1,0,0,0
The Core,1,0,Aaron Eckhart,Hilary Swank,Delroy Lindo,Core The,2003,135,74000000,5.4,7860,13.5,68.0,13.5,1,0,0,1,0,0,0
Corky Romano,1,0,Chris Kattan,Vinessa Shaw,Peter Falk,Corky Romano,2001,86,11000000,4.6,2463,23.5,58.0,13.5,0,0,1,0,0,0,0
Coronado,1,0,Kristin Dattilo,John Rhys-Davies,Michael Lowry,Coronado,2003,88,4700000,4.5,411,33.5,58.0,13.5,1,0,1,0,0,0,0
El Coronel no Tiene Quien le Escriba,1,0,Fernando Lujan,Marisa Paredes,Salma Hayek,Coronel no tiene quien le escriba El,1999,122,3000000,6.9,265,13.5,38.0,53.5,0,0,0,1,0,0,0
The Cotton Club,1,0,Richard Gere,Gregory Hines,Diane Lane,Cotton Club The,1984,127,47000000,6.2,2663,13.5,68.0,23.5,0,0,0,1,0,0,0
Cotton Mary,1,0,Madhur Jaffrey,Greta Scacchi,James Wilby,Cotton Mary,1999,124,3500000,5.3,164,13.5,48.0,23.5,0,0,0,1,0,0,0
The Count of Monte Cristo,1,0,Jim Caviezel,Guy Pearce,Dagmara Dominczyk,Count of Monte Cristo The,2002,134,35000000,7.4,13907,13.5,38.0,53.5,1,0,0,1,0,0,0
The Country Bears,1,0,Christopher Walken,Stephen Tobolowsky,Daryl Mitchell,Country Bears The,2002,88,35000000,3.7,664,43.5,18.0,13.5,0,0,1,0,0,0,0
Courage Under Fire,1,0,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Courage Under Fire,1996,117,46000000,6.7,8884,13.5,48.0,33.5,1,0,0,1,0,0,0
Cover Up,1,0,Dolph Lundgren,Louis Gossett Jr,John Finn,Cover Up,1991,87,7500000,3.3,193,43.5,38.0,13.5,1,0,0,0,0,0,0
Cowboys & Angels,1,0,Michael Legge,Allen Leech,Amy Shiels,Cowboys  Angels,2003,89,2000000,7.5,206,13.5,38.0,63.5,0,0,1,1,0,0,0
Cradle 2 the Grave,1,0,Jet Li,DMX,Mark Dacascos,Cradle 2 the Grave,2003,101,25000000,5.3,4164,13.5,68.0,13.5,1,0,0,0,0,0,0
Cradle Will Rock,1,0,Hank Azaria,Ruben Blades,Joan Cusack,Cradle Will Rock,1999,132,32000000,6.7,3375,13.5,38.0,53.5,0,0,0,1,0,0,0
The Craft,1,0,Robin Tunney,Fairuza Balk,Neve Campbell,Craft The,1996,101,15000000,5.9,9187,13.5,68.0,23.5,0,0,1,1,0,0,0
Wedding Crashers,1,0,Owen Wilson,Vince Vaughn,Christopher Walken,Crash,2004,113,6500000,8.3,1660,13.5,18.0,84.5,0,0,0,1,0,0,0
Crazy in Alabama,1,0,Melanie Griffith,David Morse,Lucas Black,Crazy in Alabama,1999,111,15000000,6.1,2086,13.5,58.0,33.5,0,0,1,1,0,0,0
Creature,1,0,Stan Ivar,Wendy Schaal,Lyman Ward,Creature,1985,97,4000000,3.8,293,43.5,48.0,13.5,0,0,0,0,0,0,0
Creepshow,1,0,Hal Holbrook,Adrienne Barbeau,Fritz Weaver,Creepshow,1982,120,8000000,6,3687,13.5,68.0,23.5,0,0,1,0,0,0,0
Creepshow 2,1,0,Lois Chiles,George Kennedy,Dorothy Lamour,Creepshow 2,1987,92,3500000,4.9,1524,13.5,78.0,13.5,0,0,1,0,0,0,0
Cremaster 2,1,0,Norman Mailer,Matthew Barney,Anonymous,Cremaster 2,1999,79,1700000,6.5,152,13.5,38.0,43.5,0,0,0,1,0,0,0
The Crew,1,0,Richard Dreyfuss,Burt Reynolds,Dan Hedaya,Crew The,2000,84,23000000,5.3,1297,13.5,68.0,13.5,0,0,1,0,0,0,0
Crime Spree,1,0,Gerard Depardieu,Johnny Hallyday,Renaud,Crime Spree,2003,98,10000000,6.3,953,13.5,48.0,33.5,0,0,1,0,0,0,0
Crimes and Misdemeanors,1,0,Martin Landau,Woody Allen,Mia Farrow,Crimes and Misdemeanors,1989,104,19000000,7.9,7302,13.5,28.0,73.5,0,0,1,1,0,0,0
Crimson Tide,1,0,Denzel Washington,Gene Hackman,George Dzundza,Crimson Tide,1995,116,53000000,7.1,14033,13.5,48.0,43.5,1,0,0,1,0,0,0
Critters,1,0,Dee Wallace,M. Emmet Walsh,Billy Green Bush,Critters,1986,82,2000000,5.3,2219,13.5,68.0,13.5,0,0,1,0,0,0,0
Critters 2 - The Main Course,1,0,Scott Grimes,Liane Alexandra Curtis,Don Keith Opper,Critters 2 The Main Course,1988,93,4500000,4.2,1074,23.5,48.0,13.5,0,0,1,0,0,0,0
Crocodile Dundee in Los Angeles,1,0,Paul Hogan,Linda Kozlowski,Jere Burns,Crocodile Dundee in Los Angeles,2001,92,25000000,4.7,2698,13.5,58.0,13.5,0,0,1,1,0,0,0
The Crocodile Hunter - Collision Course,1,0,Steve Irwin,Terri Irwin,Magda Szubanski,Crocodile Hunter Collision Course The,2002,90,13000000,5.3,1648,13.5,58.0,13.5,0,0,1,0,0,0,0
Crooklyn,1,0,Alfre Woodard,Delroy Lindo,David Patrick Kelly,Crooklyn,1994,115,14000000,6.2,1112,13.5,48.0,23.5,0,0,1,1,0,0,0
Cross Country,1,0,Richard Beymer,Nina Axelrod,Michael Ironside,Cross Country,1983,95,2500000,4.6,30,23.5,68.0,9.0,0,0,0,0,0,0,0
Crossroads,1,0,Britney Spears,Zoe Saldana,Anson Mount,Crossroads,2002,93,12000000,3.1,8546,53.5,18.0,13.5,0,0,1,1,0,1,0
The Crow,1,0,Brandon Lee,Ernie Hudson,Michael Wincott,Crow The,1994,98,15000000,7.2,20290,13.5,28.0,53.5,1,0,0,0,0,0,0
The Crow: City of Angels,1,0,Vincent Perez,Mia Kirshner,Richard Brooks (VI),Crow City of Angels The,1996,84,13000000,3.8,3656,43.5,48.0,13.5,1,0,0,0,0,0,0
The Crow - Salvation,1,0,Kirsten Dunst,Eric Mabius,Jodi Lyn O'Keefe,Crow Salvation The,2000,102,25000000,4.9,1383,13.5,48.0,23.5,1,0,0,1,0,0,0
Cruel Intentions,1,0,Sarah Michelle Gellar,Ryan Phillippe,Reese Witherspoon,Cruel Intentions,1999,97,11000000,6.5,25634,13.5,48.0,43.5,0,0,0,1,0,1,0
Cry-Baby,1,0,Johnny Depp,Amy Locane,Susan Tyrrell,CryBaby,1990,85,11000000,6,4136,13.5,48.0,33.5,0,0,1,0,0,1,0
Cujo,1,0,Dee Wallace,Danny Pintauro,Daniel Hugh Kelly,Cujo,1983,93,5000000,5.4,2922,13.5,68.0,13.5,0,0,0,0,0,0,0
Curdled,1,0,William Baldwin,Angela Jones,Bruce Ramsay,Curdled,1996,88,2309723,5.5,959,13.5,48.0,33.5,0,0,1,0,0,0,0
Curly Sue,1,0,James Belushi,Kelly Lynch,Alisan Porter,Curly Sue,1991,101,30000000,4.7,2097,13.5,68.0,13.5,0,0,1,1,0,0,0
The Curse of the Jade Scorpion,1,0,Woody Allen,Dan Aykroyd,Helen Hunt,Curse of the Jade Scorpion The,2001,103,26000000,6.8,5846,13.5,48.0,33.5,0,0,1,1,0,0,0
Cursed,1,0,Christina Ricci,Joshua Jackson,Jesse Eisenberg,Cursed,2005,97,35000000,4.7,1277,23.5,58.0,23.5,0,0,0,0,0,0,0
Cutaway,1,0,Tom Berenger,Stephen Baldwin,Dennis Rodman,Cutaway,2000,104,9000000,5.1,390,13.5,58.0,13.5,1,0,0,0,0,0,0
Cutthroat Island,1,0,Geena Davis,Matthew Modine,Frank Langella,Cutthroat Island,1995,119,92000000,5.1,3942,13.5,58.0,13.5,1,0,0,0,0,1,0
Cyborg,1,0,Jean-Claude Van Damme,Deborah Richter,Vincent Klyn,Cyborg,1989,86,2000000,3.8,2320,43.5,48.0,13.5,1,0,0,0,0,0,0
Cypher,1,0,Jeremy Northam,Lucy Liu,Nigel Bennett,Cypher,2002,95,7500000,7.2,3160,13.5,48.0,53.5,1,0,0,0,0,0,0
D-Tox (Eye See You),1,0,Sylvester Stallone,Tom Berenger,Charles S. Dutton,DTox,2002,92,55000000,4.7,2742,23.5,58.0,13.5,0,0,0,1,0,0,0
D.E.B.S.,1,0,Sara Foster,Jordana Brewster,Meagan Good,DEBS,2004,91,3500000,6,300,23.5,28.0,53.5,1,0,1,0,0,0,0
Daddy Day Care,1,0,Eddie Murphy,Jeff Garlin,Steve Zahn,Daddy Day Care,2003,92,60000000,5.7,3803,13.5,68.0,13.5,0,0,1,0,0,0,0
Daddy and Them,1,0,Jeff Bailey,Billy Bob Thornton,Brenda Blethyn,Daddy and Them,2001,101,4000000,5,364,13.5,48.0,13.5,0,0,1,1,0,0,0
Dagon,1,0,Ezra Godden,Francisco Rabal,Raquel Merono,Dagon,2001,97,4800000,6,1549,13.5,58.0,23.5,0,0,0,0,0,0,0
Les Dalton (The Daltons),1,0,Eric Ramzy,Said Serrari,Romain Berger,Dalton Les,2004,86,27000000,2.7,89,63.5,18.0,13.5,0,0,1,0,0,0,0
Dances With Wolves,1,0,Kevin Costner,Mary McDonnell,Graham Greene (II),Dances with Wolves,1990,236,19000000,7.8,28561,13.5,28.0,63.5,0,0,0,1,0,0,0
Dangerous Liaisons,1,0,Glenn Close,John Malkovich,Michelle Pfeiffer,Dangerous Liaisons,1988,119,14000000,7.6,12559,13.5,28.0,53.5,0,0,0,1,0,1,0
The Dangerous Lives of Altar Boys,1,0,Kieran Culkin,Jena Malone,Emile Hirsch,Dangerous Lives of Altar Boys The,2002,105,12000000,7.2,3274,13.5,48.0,53.5,0,0,0,1,0,0,0
Dante's Peak,1,0,Pierce Brosnan,Linda Hamilton,Charles Hallahan,Dantes Peak,1997,104,104000000,5.6,9203,13.5,68.0,13.5,1,0,0,1,0,0,0
Dark Blue,1,0,Kurt Russell,Brendan Gleeson,Scott Speedman,Dark Blue,2002,118,15000000,6.6,3882,13.5,78.0,23.5,1,0,0,1,0,0,0
Dark City,1,0,Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,Dark City,1998,100,27000000,7.6,23508,13.5,28.0,63.5,0,0,0,0,0,0,0
The Dark Crystal,1,0,Jim Henson,Kathryn Mullen,Dave Goelz,Dark Crystal The,1982,93,15000000,6.9,6531,13.5,48.0,53.5,0,0,0,0,0,0,0
Darkman,1,0,Liam Neeson,Frances McDormand,Colin Friels,Darkman,1990,96,16000000,6.1,6130,13.5,68.0,23.5,1,0,0,0,0,0,0
Darkness Falls,1,0,Chaney Kley,Emma Caulfield,Lee Cormie,Darkness Falls,2003,86,11000000,4.5,4928,33.5,58.0,13.5,0,0,0,0,0,0,0
Dawn of the Dead,1,0,Sarah Polley,Ving Rhames,Jake Weber,Dawn of the Dead,2004,109,28000000,7.4,16283,13.5,38.0,53.5,1,0,0,1,0,0,0
The Day After Tomorrow,1,0,Dennis Quaid,Jake Gyllenhaal,Ian Holm,Day After Tomorrow The,2004,124,125000000,6.3,23749,13.5,58.0,23.5,1,0,0,1,0,0,0
A Day Without a Mexican,1,0,Yareli Arizmendi,John Getz,Maureen Flannigan,Day Without a Mexican A,2004,100,1500000,5,561,23.5,48.0,23.5,0,0,1,1,0,0,0
Day of the Dead,1,0,Lori Cardille,Terry Alexander,Joseph Pilato,Day of the Dead,1985,97,3500000,6.5,5053,13.5,48.0,43.5,0,0,0,1,0,0,0
Daylight,1,0,Sylvester Stallone,Amy Brenneman,Viggo Mortensen,Daylight,1996,110,80000000,5.4,6979,13.5,68.0,13.5,1,0,0,1,0,0,0
Days of Thunder,1,0,Tom Cruise,Robert Duvall,Nicole Kidman,Days of Thunder,1990,107,60000000,5.4,9660,13.5,68.0,13.5,1,0,0,1,0,1,0
Dead and Buried,1,0,James Farentino,Melody Anderson,Jack Albertson,Dead  Buried,1981,94,3000000,6.1,614,13.5,58.0,23.5,0,0,0,0,0,0,0
Dead Babies,1,0,Paul Bettany,Katy Carmichael,Haley Carr,Dead Babies,2000,100,1000000,4.3,172,23.5,48.0,23.5,0,0,1,0,0,0,0
Dead Heat,1,0,Treat Williams,Joe Piscopo,Lindsay Frost,Dead Heat,1988,86,5000000,4.8,470,13.5,58.0,23.5,1,0,1,0,0,0,0
Dead Man,1,0,Johnny Depp,Gary Farmer,Lance Henriksen,Dead Man,1995,120,9000000,7.6,10097,13.5,28.0,73.5,0,0,0,0,0,0,0
Dead Man Walking,1,0,Susan Sarandon,Sean Penn,Robert Prosky,Dead Man Walking,1995,122,11000000,7.6,16177,13.5,28.0,53.5,0,0,0,1,0,0,0
Dead Man on Campus,1,0,Tom Everett Scott,Mark-Paul Gosselaar,Poppy Montgomery,Dead Man on Campus,1998,96,14000000,5.4,2829,13.5,48.0,23.5,0,0,1,0,0,0,0
The Curve (Dead Man's Curve),1,0,Matthew Lillard,Michael Vartan,Randall Batinkoff,Dead Mans Curve,1998,90,1000000,5.7,1241,13.5,58.0,23.5,0,0,1,1,0,0,0
Dead Poets Society,1,0,Robin Williams,Robert Sean Leonard,Ethan Hawke,Dead Poets Society,1989,128,16400000,7.7,43294,13.5,28.0,63.5,0,0,0,1,0,0,0
Dead Presidents,1,0,Larenz Tate,Keith David,Chris Tucker,Dead Presidents,1995,119,15000000,6.3,2641,13.5,58.0,23.5,1,0,0,1,0,0,0
The Dead Zone,1,0,Christopher Walken,Brooke Adams,Tom Skerritt,Dead Zone The,1983,103,10000000,7.2,6338,13.5,48.0,53.5,0,0,0,1,0,0,0
Deadly Blessing,1,0,Maren Jensen,Susan Buckner,Sharon Stone,Deadly Blessing,1981,100,2500000,4.5,308,13.5,58.0,13.5,0,0,0,0,0,0,0
Death Becomes Her,1,0,Meryl Streep,Bruce Willis,Goldie Hawn,Death Becomes Her,1992,99,55000000,5.6,9887,13.5,68.0,23.5,0,0,1,0,0,0,0
Death to Smoochy,1,0,Robin Williams,Matthew Arkin,Hank Azaria,Death to Smoochy,2002,109,55000000,6.3,8003,13.5,48.0,33.5,0,0,1,0,0,0,0
Deconstructing Harry,1,0,Woody Allen,Kirstie Alley,Bob Balaban,Deconstructing Harry,1997,96,20000000,7.1,7342,13.5,48.0,53.5,0,0,1,0,0,0,0
Decoys,1,0,Nicole Eggert,Corey Sevier,Richard Burgi,Decoys,2004,95,5000000,4.2,580,33.5,48.0,13.5,0,0,1,0,0,0,0
Deep Blue Sea,1,0,Thomas Jane,Saffron Burrows,Samuel L. Jackson,Deep Blue Sea,1999,105,78000000,5.5,17666,13.5,68.0,23.5,1,0,0,0,0,0,0
The Deep End of the Ocean,1,0,Michelle Pfeiffer,Treat Williams,Whoopi Goldberg,Deep End of the Ocean The,1999,106,40000000,5.9,2890,13.5,68.0,23.5,0,0,0,1,0,0,0
The Deep End,1,0,Tilda Swinton,Goran Visnjic,Jonathan Tucker,Deep End The,2001,101,3000000,6.8,3524,13.5,48.0,43.5,0,0,0,1,0,0,0
Deep Impact,1,0,Robert Duvall,Tea Leoni,Elijah Wood,Deep Impact,1998,120,75000000,5.9,22684,13.5,68.0,23.5,0,0,0,1,0,0,0
Deep Rising,1,0,Treat Williams,Famke Janssen,Anthony Heald,Deep Rising,1998,97,45000000,5.4,4626,13.5,48.0,23.5,1,0,0,0,0,0,0
The Defender,1,0,Dolph Lundgren,Jerry Springer,Shakara Ledard,Defender The,2004,90,6000000,6.3,58,23.5,23.5,63.5,1,0,0,0,0,0,0
Delivered,1,0,David Strickland,Ron Eldard,Leslie Stefanson,Delivered,1998,93,1000000,5.1,73,13.5,58.0,13.5,0,0,1,1,0,0,0
Delusion,1,0,Jim Metzler,Jennifer Rubin,Kyle Secor,Delusion,1991,88,1000000,6,242,13.5,58.0,33.5,0,0,0,0,0,0,0
The Demolitionist,1,0,Nicole Eggert,Richard Grieco,Susan Tyrrell,Demolitionist The,1995,100,1000000,4.1,238,43.5,48.0,23.5,1,0,0,0,0,0,0
Tales from the Crypt: Demon Knight,1,0,Billy Zane,Bill Sadler,Jada Pinkett Smith,Demon Knight,1995,92,12000000,6,2215,13.5,58.0,33.5,0,0,0,0,0,0,0
Demoni (Demons),1,0,Natasha Hovey,Urbano Barberini,Fiore Argento,Demoni,1985,88,1800000,5.7,1188,13.5,38.0,33.5,0,0,0,0,0,0,0
Demonium,1,0,[],[],[],Demonium,2001,85,2200000,3.7,55,53.5,18.0,23.5,0,0,0,0,0,0,0
Something About Sex (Denial),1,0,Jonathan Silverman,Leah Lail,Ryan Alosio,Denial,1998,93,5000000,5.3,285,13.5,48.0,33.5,0,0,1,1,0,0,0
"Dentist 2, The",1,0,Corbin Bernsen,Jillian McWhirter,Linda Hoffman,Dentist II The,1998,100,1800000,4.1,401,33.5,58.0,13.5,0,0,0,0,0,0,0
Derailed,1,0,Jean-Claude Van Damme,Laura Harring,Tomas Arana,Derailed,2002,89,18000000,3.4,1075,53.5,18.0,33.5,1,0,0,0,0,0,0
Desire and Hell at Sunset Motel,1,0,Sherilyn Fenn,Whip Hubley,David Hewlett,Desire,1993,95,1000000,4.5,34,23.5,58.0,19.0,0,0,0,0,0,0,0
Desperado,1,0,Antonio Banderas,Salma Hayek,Joaquim de Almeida,Desperado,1995,106,7000000,6.8,17929,13.5,48.0,43.5,1,0,0,0,0,0,0
Desperately Seeking Susan,1,0,Rosanna Arquette,Madonna,Aidan Quinn,Desperately Seeking Susan,1985,104,4500000,5.6,4853,13.5,58.0,23.5,0,0,1,1,0,1,0
Detention,1,0,Charisse Brown,Justin Black,John Hall,Detention,2003,98,10000000,4.1,223,53.5,38.0,13.5,1,0,0,1,0,0,0
Detroit Rock City,1,0,Edward Furlong,Giuseppe Andrews,James DeBello,Detroit Rock City,1999,95,15000000,6,4607,13.5,48.0,33.5,0,0,1,0,0,0,0
Deuce Bigalow: Male Gigolo,1,0,Rob Schneider,William Forsythe,Eddie Griffin,Deuce Bigalow Male Gigolo,1999,88,18000000,5.6,9897,13.5,68.0,23.5,0,0,1,0,0,0,0
Deuces Wild,1,0,Stephen Dorff,Brad Renfro,Fairuza Balk,Deuces Wild,2002,100,10000000,5.3,1511,13.5,48.0,13.5,1,0,0,1,0,0,0
The Devil's Advocate,1,0,Keanu Reeves,Al Pacino,Charlize Theron,Devils Advocate The,1997,144,57000000,7,26904,13.5,48.0,53.5,0,0,0,1,0,0,0
The Devil's Own,1,0,Harrison Ford,Brad Pitt,Margaret Colin,Devils Own The,1997,111,80000000,5.7,8485,13.5,68.0,23.5,1,0,0,1,0,0,0
Devil's Pond,1,0,Kip Pardue,Tara Reid,Meredith Baxter,Devils Pond,2003,92,5000000,5.6,370,13.5,58.0,13.5,0,0,0,1,0,0,0
Diary of a Mad Black Woman,1,0,Kimberly Elise,Steve Harris,Shemar Moore,Diary of a Mad Black Woman,2005,116,5500000,3.9,837,33.5,18.0,43.5,0,0,1,1,0,0,0
Dick,1,0,Kirsten Dunst,Michelle Williams,Jim Breuer,Dick,1999,94,13000000,6.3,5004,13.5,58.0,23.5,0,0,1,0,0,0,0
Dick Tracy,1,0,Warren Beatty,Charlie Korsmo,Glenne Headly,Dick Tracy,1990,105,47000000,5.7,9939,13.5,68.0,23.5,1,0,1,0,0,0,0
Dickie Roberts - Former Child Star,1,0,David Spade,Mary McCormack,Jon Lovitz,Dickie Roberts Former Child Star,2003,98,17000000,5.5,2076,13.5,58.0,13.5,0,0,1,0,0,0,0
Die Another Day,1,0,Pierce Brosnan,Halle Berry,Toby Stephens,Die Another Day,2002,133,142000000,6.4,22136,13.5,58.0,23.5,1,0,0,0,0,0,0
Die Hard,1,0,Bruce Willis,Alan Rickman,Bonnie Bedelia,Die Hard,1988,131,28000000,8,58870,13.5,28.0,63.5,1,0,0,0,0,0,0
Die Hard 2,1,0,Bruce Willis,Bonnie Bedelia,Bill Sadler,Die Hard 2,1990,124,70000000,6.7,22987,13.5,58.0,33.5,1,0,0,0,0,0,0
Die Hard 3: With a Vengeance,1,0,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Die Hard With a Vengeance,1995,131,90000000,7,25258,13.5,48.0,43.5,1,0,0,0,0,0,0
Bullet in the Head (Die xue jie tou),1,0,Jacky Cheung,Waise Lee,Simon Yam,Die xue jie tou,1990,126,3500000,7.6,1805,13.5,28.0,73.5,1,0,0,1,0,0,0
Digimon - The Movie,1,0,Lara Jill Miller,Joshua Seth,Colleen O'Shaughnessy,Digimon The Movie,2000,82,5000000,3.4,455,33.5,18.0,33.5,1,1,0,0,0,0,0
Dilemma,1,0,C. Thomas Howell,Danny Trejo,Sofia Shinas,Dilemma,1997,83,2500000,3.9,49,53.5,38.0,23.5,1,0,0,0,0,0,0
Diner,1,0,Tim Daly,Steve Guttenberg,Daniel Stern,Diner,1982,110,5000000,7.2,3250,13.5,48.0,53.5,0,0,1,1,0,0,0
Dinosaur,1,0,D.B. Sweeney,Alfre Woodard,Ossie Davis,Dinosaur,2000,82,127500000,6.3,5839,13.5,68.0,23.5,0,1,0,0,0,0,0
Diplomatic Siege,1,0,Peter Weller,Daryl Hannah,Tom Berenger,Diplomatic Siege,1999,96,45000000,3.5,340,43.5,38.0,13.5,1,0,0,0,0,0,0
Dirty Dancing,1,0,Patrick Swayze,Jennifer Grey,Jerry Orbach,Dirty Dancing,1987,100,6000000,5.9,14407,13.5,48.0,33.5,0,0,0,1,0,1,0
Dirty Pretty Things,1,0,Audrey Tautou,Chiwetel Ejiofor,Sergi Lopez,Dirty Pretty Things,2002,97,10000000,7.6,6274,13.5,38.0,63.5,0,0,0,1,0,0,0
Dirty Work,1,0,Norm Macdonald,Jack Warden,Artie Lange,Dirty Work,1998,82,13000000,5.9,4252,13.5,48.0,33.5,0,0,1,0,0,0,0
Disturbing Behavior,1,0,James Marsden,Katie Holmes,Nick Stahl,Disturbing Behavior,1998,84,15000000,5.1,4620,13.5,68.0,13.5,0,0,0,0,0,0,0
Divine Secrets of the Ya-Ya Sisterhood,1,0,Sandra Bullock,Ellen Burstyn,Ashley Judd,Divine Secrets of the YaYa Sisterhood,2002,116,27000000,5.5,4288,13.5,48.0,23.5,0,0,1,1,0,0,0
Do the Right Thing,1,0,Danny Aiello,Spike Lee,Richard Edson,Do the Right Thing,1989,120,6500000,7.7,9324,13.5,28.0,73.5,0,0,1,1,0,0,0
Doctor Dolittle,1,0,Eddie Murphy,Ossie Davis,Oliver Platt,Doctor Dolittle,1998,85,71500000,5.4,8287,13.5,78.0,13.5,0,0,1,0,0,0,0
Close Your Eyes (Doctor Sleep),1,0,Goran Visnjic,Shirley Henderson,Miranda Otto,Doctor Sleep,2002,108,10000000,6.2,609,13.5,68.0,23.5,0,0,0,0,0,0,0
Dodgeball - A True Underdog Story,1,0,Ben Stiller,Vince Vaughn,Christine Taylor,Dodgeball A True Underdog Story,2004,92,20000000,6.6,14584,13.5,48.0,33.5,0,0,1,0,0,0,0
A Dog of Flanders,1,0,Jack Warden,Jeremy James Kissner,Jesse James,Dog of Flanders A,1999,100,7000000,6,179,13.5,58.0,43.5,0,0,0,1,0,0,0
Dogma,1,0,Ben Affleck,George Carlin,Matt Damon,Dogma,1999,130,10000000,7.3,43391,13.5,28.0,63.5,0,0,1,0,0,0,0
Domestic Disturbance,1,0,John Travolta,Vince Vaughn,Teri Polo,Domestic Disturbance,2001,91,53000000,5.4,4445,13.5,68.0,13.5,0,0,0,1,0,0,0
Dominion,1,0,Brad Johnson,Brion James,Tim Thomerson,Dominion,1995,95,1300000,5,85,13.5,68.0,23.5,0,0,0,1,0,0,0
Don Juan DeMarco,1,0,Marlon Brando,Johnny Depp,Faye Dunaway,Don Juan DeMarco,1995,97,25000000,6.5,6857,13.5,48.0,43.5,0,0,1,1,0,1,0
Don't Say a Word,1,0,Michael Douglas,Sean Bean,Brittany Murphy,Dont Say a Word,2001,113,50000000,6.2,10098,13.5,68.0,23.5,0,0,0,1,0,0,0
Donnie Brasco,1,0,Johnny Depp,Al Pacino,Michael Madsen,Donnie Brasco,1997,127,35000000,7.6,20029,13.5,38.0,63.5,0,0,0,1,0,0,0
Donnie Darko,1,0,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Donnie Darko,2001,133,4500000,8.3,51961,13.5,18.0,83.5,0,0,0,1,0,0,0
Doors - The Soft Parade: A Retrospective,1,0,Robby Krieger,Jim Morrison,John Densmore,Doors The,1991,140,38000000,6.7,10363,13.5,48.0,53.5,0,0,0,1,0,0,0
Doppelganger: The Evil Within,1,0,Drew Barrymore,Dennis Christopher,Peter Dobson,Doppelganger,1993,104,3000000,4.1,481,33.5,58.0,13.5,0,0,0,0,0,0,0
Dot.Kill,1,0,Armand Assante,Clare Holman,Frank Nasso,DotKill,2004,87,6000000,5,36,19.0,48.0,33.5,0,0,0,0,0,0,0
Double Impact,1,0,Jean-Claude Van Damme,Geoffrey Lewis,Alan Scarfe,Double Impact,1991,109,16000000,4.5,2749,23.5,58.0,13.5,1,0,0,0,0,0,0
Double Jeopardy,1,0,Tommy Lee Jones,Ashley Judd,Bruce Greenwood,Double Jeopardy,1999,105,40000000,5.9,13587,13.5,68.0,23.5,0,0,0,1,0,0,0
Double Take,1,0,Orlando Jones,Eddie Griffin,Edward Herrmann,Double Take,2001,91,24000000,4.8,1503,13.5,68.0,13.5,1,0,1,0,0,0,0
Double Tap,1,0,Stephen Rea,Heather Locklear,Peter Greene,Double Tap,1997,87,8000000,5.3,184,13.5,68.0,23.5,1,0,0,0,0,0,0
Double Whammy,1,0,Denis Leary,Elizabeth Hurley,Steve Buscemi,Double Whammy,2001,100,4000000,5.6,886,13.5,68.0,13.5,0,0,1,1,0,0,0
Doug's First Movie,1,0,Thomas McHugh,Fred Newman,Chris Phillips,Dougs 1st Movie,1999,77,5000000,4.5,290,23.5,58.0,23.5,0,1,1,0,0,0,0
Black Hawk Down,1,0,Josh Hartnett,Ewan McGregor,Jason Isaacs,Down,2001,110,15000000,4.5,637,43.5,48.0,13.5,1,0,0,0,0,0,0
Down and Out With the Dolls,1,0,Zoe Poledouris,Kinnie Starr,Melody Moore,Down and Out with the Dolls,2001,88,1200000,6,37,23.5,38.0,53.5,0,0,1,0,0,0,0
Down by Law,1,0,Tom Waits,John Lurie,Roberto Benigni,Down by Law,1986,107,1100000,7.6,4449,13.5,28.0,73.5,0,0,1,1,0,0,0
Down to Earth,1,0,Chris Rock,Regina King,Chazz Palminteri,Down to Earth,2001,87,30000000,5.1,3720,13.5,68.0,13.5,0,0,1,0,0,1,0
Down to You,1,0,Joanna Adler,Freddie Prinze Jr.,Julia Stiles,Down to You,2000,91,9000000,4.7,3232,23.5,58.0,13.5,0,0,1,1,0,1,0
