RT_title,cast1,cast2,cast3,length,budget,imdb_rating,imdb_votes,rlow,rmed,rhigh,Action,Animation,Comedy,Drama,Documentary,Romance,RT_aud_score,RT_crit_score,RT_year,num_month,num_day,num_year,num_gross,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Disturbing Behavior,James Marsden,Katie Holmes,Nick Stahl,84,15000000,5.1,4620,13.5,68.0,13.5,0,0,0,0,0,0,40,33,1998,7,24,1998,17507368,0,1,0,4
Divine Secrets of the Ya-Ya Sisterhood,Sandra Bullock,Ellen Burstyn,Ashley Judd,116,27000000,5.5,4288,13.5,48.0,23.5,0,0,1,1,0,0,65,44,2002,6,7,2002,69586544,1,0,0,4
Do the Right Thing,Danny Aiello,Spike Lee,Richard Edson,120,6250000,7.7,9324,13.5,28.0,73.5,0,0,1,1,0,0,90,96,1989,6,30,1989,26004026,0,1,0,4
Dodgeball - A True Underdog Story,Ben Stiller,Vince Vaughn,Christine Taylor,92,25000000,6.6,14584,13.5,48.0,33.5,0,0,1,0,0,0,76,70,2004,6,18,2004,114326736,1,0,0,4
A Dog of Flanders,Jack Warden,Jeremy James Kissner,Jesse James,100,7000000,6.0,179,13.5,58.0,43.5,0,0,0,1,0,0,65,21,1999,8,27,1999,2165637,1,0,0,4
Dogma,Ben Affleck,George Carlin,Matt Damon,130,10000000,7.3,43391,13.5,28.0,63.5,0,0,1,0,0,0,86,67,1999,11,12,1999,30651422,0,1,1,4
Domestic Disturbance,John Travolta,Vince Vaughn,Teri Polo,91,53000000,5.4,4445,13.5,68.0,13.5,0,0,0,1,0,0,38,23,2001,11,2,2001,45207112,1,0,0,4
Don Juan DeMarco,Marlon Brando,Johnny Depp,Faye Dunaway,97,25000000,6.5,6857,13.5,48.0,43.5,0,0,1,1,0,1,69,74,1995,4,7,1995,22032635,1,0,0,4
Don't Say a Word,Michael Douglas,Sean Bean,Brittany Murphy,113,50000000,6.2,10098,13.5,68.0,23.5,0,0,0,1,0,0,50,24,2001,9,28,2001,54997476,0,1,0,4
Donnie Brasco,Johnny Depp,Al Pacino,Michael Madsen,127,35000000,7.6,20029,13.5,38.0,63.5,0,0,0,1,0,0,89,87,1997,2,28,1997,41954997,0,1,0,4
Donnie Darko,Jake Gyllenhaal,Jena Malone,Mary McDonnell,133,4500000,8.3,51961,13.5,18.0,83.5,0,0,0,1,0,0,80,85,2001,10,26,2001,1270522,0,1,0,4
Double Impact,Jean-Claude Van Damme,Geoffrey Lewis,Alan Scarfe,109,16000000,4.5,2749,23.5,58.0,13.5,1,0,0,0,0,0,42,14,1991,8,9,1991,29090445,0,1,0,4
Double Jeopardy,Tommy Lee Jones,Ashley Judd,Bruce Greenwood,105,40000000,5.9,13587,13.5,68.0,23.5,0,0,0,1,0,0,62,25,1999,9,24,1999,116735231,0,1,0,4
Double Take,Orlando Jones,Eddie Griffin,Edward Herrmann,91,24000000,4.8,1503,13.5,68.0,13.5,1,0,1,0,0,0,50,12,2001,1,12,2001,29823162,1,0,0,4
Doug's First Movie,Thomas McHugh,Fred Newman,Chris Phillips,77,5000000,4.5,290,23.5,58.0,23.5,0,1,1,0,0,0,31,26,1999,3,26,1999,19421271,1,0,0,4
Down to Earth,Chris Rock,Regina King,Chazz Palminteri,87,30000000,5.1,3720,13.5,68.0,13.5,0,0,1,0,0,1,42,20,2001,2,16,2001,64172251,1,0,0,4
Down to You,Joanna Adler,Freddie Prinze Jr.,Julia Stiles,91,9000000,4.7,3232,23.5,58.0,13.5,0,0,1,1,0,1,50,3,2000,1,21,2000,20035310,1,0,0,4
Bram Stoker's Dracula,Gary Oldman,Winona Ryder,Anthony Hopkins,128,40000000,7.1,19972,13.5,48.0,53.5,0,0,0,1,0,1,80,79,1992,11,13,1992,82522790,0,1,1,4
Dracula 2000,Christopher Plummer,Gerard Butler,Jonny Lee Miller,99,28000000,4.9,5364,13.5,58.0,13.5,0,0,0,0,0,0,40,17,2000,12,22,2000,33000377,0,1,0,4
Dragonfly,Kevin Costner,Kathy Bates,Lisa Banes,104,60000000,5.8,5431,13.5,68.0,23.5,0,0,0,1,0,0,63,7,2002,2,22,2002,30063805,1,0,0,4
Dragonslayer,Peter MacNicol,Caitlin Clarke,Ralph Richardson,109,18000000,6.4,1965,13.5,58.0,23.5,1,0,0,0,0,0,61,85,1981,6,26,1981,6000000,1,0,0,4
Dream with the Fishes,David Arquette,Brad Hunt,Kathryn Erbe,97,1000000,6.5,647,13.5,38.0,53.5,0,0,1,1,0,0,87,60,1997,6,20,1997,542909,0,1,0,4
Dreamcatcher,Morgan Freeman,Thomas Jane,Jason Lee,134,68000000,5.2,10403,13.5,58.0,13.5,0,0,0,0,0,0,36,30,2003,3,21,2003,33685268,0,1,0,4
Dressed to Kill,Michael Caine,Angie Dickinson,Nancy Allen,104,6500000,6.9,3481,13.5,48.0,43.5,0,0,0,0,0,0,75,84,1980,1,1,1980,31899000,0,1,1,1
Drive,Mark Dacascos,Kadeem Hardison,Brittany Murphy,117,9250000,6.4,1086,13.5,28.0,53.5,1,0,1,0,0,0,78,93,2011,9,16,2011,35060689,0,1,0,4
Drive Me Crazy,Melissa Joan Hart,Adrian Grenier,Susan May Pratt,91,8000000,5.1,2934,13.5,48.0,13.5,0,0,1,1,0,1,53,28,1999,10,1,1999,17843379,1,0,0,4
Driven,Sylvester Stallone,Burt Reynolds,Kip Pardue,116,72000000,4.4,7129,33.5,58.0,13.5,1,0,0,1,0,0,34,14,2001,4,27,2001,32616869,1,0,0,4
Driving Miss Daisy,Morgan Freeman,Jessica Tandy,Dan Aykroyd,99,7500000,7.4,8656,13.5,48.0,53.5,0,0,1,1,0,0,82,81,1989,12,13,1989,106593296,1,0,0,2
Drowning Mona,Danny DeVito,Bette Midler,Neve Campbell,95,16000000,5.4,3454,13.5,58.0,13.5,0,0,1,0,0,0,46,29,2000,3,3,2000,15427192,1,0,0,4
Drumline,Nick Cannon,Zoe Saldana,Orlando Jones,118,20000000,5.3,7368,23.5,48.0,13.5,0,0,1,1,0,1,70,82,2002,12,13,2002,56398162,1,0,0,4
"Dude, Where's My Car?",Ashton Kutcher,Seann William Scott,Kristy Swanson,83,13500000,4.6,13330,23.5,58.0,13.5,0,0,1,0,0,0,47,18,2000,12,15,2000,46729374,1,0,0,4
Dudley Do-Right,Brendan Fraser,Sarah Jessica Parker,Alfred Molina,77,22000000,3.6,1790,43.5,38.0,13.5,0,0,1,0,0,0,23,16,1999,8,27,1999,9818792,1,0,0,4
Duets,Maria Bello,Andre Braugher,Paul Giamatti,112,15500000,5.8,2414,13.5,58.0,23.5,0,0,1,1,0,0,48,20,2000,9,15,2000,4734235,0,1,0,4
Dune,Francesca Annis,Leo Cimino,Brad Dourif,190,45000000,6.3,16903,13.5,38.0,43.5,1,0,0,0,0,0,68,54,1984,12,14,1984,27447471,1,0,0,4
Dungeons & Dragons,Justin Whalin,Marlon Wayans,Zoe McLellan,107,35000000,4.0,7435,43.5,48.0,13.5,1,0,0,0,0,0,19,10,2000,12,8,2000,15185241,1,0,0,4
Duplex (Our House),Ben Stiller,Drew Barrymore,Eileen Essell,89,40000000,5.7,4334,13.5,68.0,13.5,0,0,1,0,0,0,41,35,2003,9,26,2003,9652000,1,0,0,4
DysFunKtional Family,[],[],[],89,3000000,5.6,207,23.5,48.0,33.5,0,0,1,0,1,0,79,43,2003,4,4,2003,2255000,0,1,0,4
E.T. The Extra-Terrestrial,Henry Thomas,Dee Wallace,Peter Coyote,120,10500000,7.8,44175,13.5,28.0,63.5,0,0,0,1,0,0,71,98,1982,6,11,1982,435110554,1,0,1,4
Ed Wood,Johnny Depp,Martin Landau,Sarah Jessica Parker,127,18000000,8.0,22612,13.5,28.0,73.5,0,0,1,1,0,0,88,92,1994,9,30,1994,5828466,0,1,0,4
Ed and His Dead Mother,Steve Buscemi,Ned Beatty,Miriam Margolyes,86,1800000,5.3,413,13.5,58.0,33.5,0,0,1,0,0,0,53,50,1993,1,1,1993,673,1,0,1,4
EdTV,Matthew McConaughey,Jenna Elfman,Woody Harrelson,122,60000000,6.2,10085,13.5,68.0,23.5,0,0,1,0,0,0,29,64,1999,3,26,1999,22508689,1,0,0,4
Edward Scissorhands,Johnny Depp,Winona Ryder,Dianne Wiest,105,20000000,7.7,27017,13.5,28.0,63.5,0,0,0,1,0,1,91,91,1990,12,7,1990,53976987,1,0,0,4
Eight Legged Freaks,David Arquette,Kari Wuhrer,Scott Terra,99,30000000,5.5,6362,13.5,68.0,23.5,1,0,1,0,0,0,32,48,2002,7,17,2002,17266505,1,0,0,2
Election,Matthew Broderick,Reese Witherspoon,Chris Klein,103,8500000,7.4,17521,13.5,38.0,53.5,0,0,1,0,0,0,79,92,1999,4,23,1999,14943582,0,1,0,4
Elektra,Jennifer Garner,Goran Visnjic,Will Yun Lee,96,54000000,4.9,5120,23.5,58.0,23.5,1,0,0,0,0,0,30,10,2005,1,14,2005,24409722,1,0,0,4
The Elephant Man,Anthony Hopkins,John Hurt,Anne Bancroft,124,5000000,8.2,16422,13.5,28.0,73.5,0,0,0,1,0,0,93,89,1980,10,3,1980,26010864,1,0,0,4
Elf,Will Ferrell,Edward Asner,James Caan,95,32500000,7.0,10165,13.5,48.0,53.5,0,0,1,0,0,0,78,84,2003,11,7,2003,173398518,1,0,0,4
Elizabeth,Cate Blanchett,Geoffrey Rush,Christopher Eccleston,124,25000000,7.6,14733,13.5,28.0,53.5,0,0,0,1,0,0,87,81,1998,11,6,1998,30082699,0,1,0,4
Ella Enchanted,Anne Hathaway,Hugh Dancy,Cary Elwes,96,35000000,6.5,2502,13.5,48.0,33.5,0,0,1,0,0,1,57,50,2004,4,9,2004,22913677,1,0,0,4
Emma,Gwyneth Paltrow,Jeremy Northam,Toni Collette,121,5950000,6.9,6431,13.5,48.0,53.5,0,0,1,0,0,1,77,83,1996,8,2,1996,22231658,1,0,0,4
The Emperor's Club,Kevin Kline,Emile Hirsch,Jesse Eisenberg,109,12500000,6.7,3056,13.5,48.0,33.5,0,0,0,1,0,0,68,50,2002,11,22,2002,14060950,1,0,0,4
The Emperor's New Groove,David Spade,John Goodman,Eartha Kitt,78,100000000,7.4,8532,13.5,48.0,53.5,0,1,1,0,0,0,84,85,2000,12,15,2000,89296573,1,0,0,4
Empire,John Leguizamo,Peter Sarsgaard,Denise Richards,90,3500000,6.0,1718,13.5,68.0,23.5,1,0,0,1,0,0,63,21,2002,12,6,2002,17504595,0,1,0,4
End of Days,Arnold Schwarzenegger,Gabriel Byrne,Robin Tunney,121,91500000,5.3,18237,13.5,68.0,13.5,1,0,0,0,0,0,33,11,1999,11,24,1999,66889043,0,1,1,2
The End of the Affair,Ralph Fiennes,Julianne Moore,Stephen Rea,102,23000000,7.0,4808,13.5,48.0,53.5,0,0,0,1,0,1,75,67,1999,12,3,1999,10660147,0,1,0,4
Enemy at the Gates,Joseph Fiennes,Jude Law,Rachel Weisz,131,77500000,7.3,19169,13.5,48.0,53.5,1,0,0,1,0,1,83,54,2001,3,16,2001,51396781,0,1,0,4
The English Patient,Ralph Fiennes,Juliette Binoche,Willem Dafoe,160,31000000,7.1,25210,13.5,28.0,53.5,0,0,0,1,0,1,84,83,1996,11,15,1996,78716374,0,1,0,4
Enough,Jennifer Lopez,Bill Campbell,Juliette Lewis,115,38000000,4.9,4339,23.5,48.0,13.5,0,0,0,1,0,0,68,22,2002,5,24,2002,39177215,1,0,0,4
Entrapment,Sean Connery,Catherine Zeta-Jones,Ving Rhames,113,66000000,6.1,18543,13.5,68.0,23.5,0,0,1,0,0,1,51,38,1999,4,30,1999,87707396,1,0,0,4
Envy,Ben Stiller,Jack Black,Rachel Weisz,99,30000000,4.3,3417,33.5,48.0,13.5,0,0,1,0,0,0,27,7,2004,4,30,2004,13548322,1,0,0,4
Equilibrium,Christian Bale,Emily Watson,Taye Diggs,107,20000000,7.6,17579,13.5,28.0,63.5,1,0,0,0,0,0,82,37,2002,12,6,2002,1190018,0,1,0,4
Eraser,Arnold Schwarzenegger,James Caan,Vanessa L. Williams,115,100000000,5.8,14641,13.5,68.0,23.5,1,0,0,1,0,0,39,36,1996,6,21,1996,101295562,0,1,0,4
Erin Brockovich,Julia Roberts,Albert Finney,Aaron Eckhart,130,50500000,7.3,24301,13.5,48.0,43.5,0,0,0,1,0,0,80,84,2000,3,17,2000,125548685,0,1,0,4
Escape from L.A.,Kurt Russell,Stacy Keach,Steve Buscemi,101,50000000,4.8,7955,23.5,58.0,13.5,1,0,0,0,0,0,40,53,1996,8,9,1996,25426861,0,1,0,4
Escape from New York,Kurt Russell,Lee Van Cleef,Ernest Borgnine,99,6000000,6.8,9924,13.5,48.0,53.5,1,0,0,0,0,0,77,83,1981,7,10,1981,25244700,0,1,0,4
Eternal Sunshine Of The Spotless Mind,Jim Carrey,Kate Winslet,Kirsten Dunst,108,20000000,8.6,46240,13.5,18.0,83.5,0,0,1,1,0,1,94,93,2004,3,19,2004,34366518,0,1,0,4
Eulogy,Hank Azaria,Jesse Bradford,Zooey Deschanel,91,10000000,6.5,773,13.5,48.0,43.5,0,0,1,1,0,0,72,32,2004,10,15,2004,70527,0,1,0,4
Eurotrip,Scott Mechlowicz,Jacob Pitts,Michelle Trachtenberg,90,25000000,6.1,8390,13.5,58.0,33.5,0,0,1,0,0,0,76,46,2004,2,20,2004,17718223,0,1,0,4
Eve's Bayou,Jurnee Smollett,Meagan Good,Samuel L. Jackson,109,5000000,7.2,2302,13.5,38.0,53.5,0,0,0,1,0,0,90,80,1997,11,7,1997,14843425,0,1,0,4
Event Horizon,Laurence Fishburne,Sam Neill,Kathleen Quinlan,96,65000000,5.7,15510,13.5,48.0,23.5,0,0,0,0,0,0,63,24,1997,8,15,1997,26673242,0,1,0,4
An Everlasting Piece,Barry McEvoy,Brian F. O'Byrne,Anna Friel,103,9000000,6.1,475,13.5,68.0,23.5,0,0,1,0,0,0,78,48,2000,12,22,2000,75078,0,1,0,4
Everyone Says I Love You,Edward Norton,Alan Alda,Woody Allen,101,20000000,6.9,7314,13.5,48.0,53.5,0,0,1,0,0,1,69,79,1996,12,6,1996,9725847,0,1,0,4
Evil Dead 2,Bruce Campbell,Sarah Berry,Dan Hicks,85,3500000,7.6,15743,13.5,28.0,63.5,1,0,1,0,0,0,89,98,1987,3,13,1987,5923044,0,1,0,4
Evita,Madonna,Antonio Banderas,Jonathan Pryce,134,55000000,6.2,8371,13.5,38.0,53.5,0,0,0,1,0,0,69,64,1996,12,25,1996,50047179,1,0,1,2
Evolution,David Duchovny,Orlando Jones,Seann William Scott,101,80000000,5.8,14232,13.5,68.0,23.5,0,0,1,0,0,0,48,43,2001,6,8,2001,38311134,1,0,0,4
Executive Decision,Kurt Russell,Halle Berry,John Leguizamo,134,55000000,6.3,7653,13.5,68.0,23.5,1,0,0,0,0,0,53,63,1996,3,15,1996,56679192,0,1,0,4
Exit Wounds,Steven Seagal,DMX,Isaiah Washington,101,33000000,5.3,5370,13.5,68.0,13.5,1,0,0,0,0,0,46,32,2001,3,16,2001,51758599,0,1,0,4
Exorcist - The Beginning,Stellan Skarsgard,Izabella Scorupco,James D'Arcy,114,54000000,5.0,4130,23.5,58.0,13.5,1,0,0,0,0,0,28,11,2004,8,20,2004,41814863,0,1,0,4
Extreme Measures,Hugh Grant,Gene Hackman,Sarah Jessica Parker,118,38000000,5.9,3417,13.5,68.0,23.5,0,0,0,0,0,0,41,55,1996,9,27,1996,17378193,0,1,0,4
Extreme Ops,Devon Sawa,Bridgette Wilson-Sampras,Rupert Graves,94,40000000,4.0,1337,43.5,48.0,13.5,1,0,0,0,0,0,28,8,2002,11,27,2002,4835968,1,0,1,2
Eye For An Eye,Sally Field,Kiefer Sutherland,Ed Harris,101,20000000,5.6,1843,13.5,58.0,23.5,0,0,0,1,0,0,58,8,1995,1,12,1996,26792700,0,1,0,4
Eye of the Beholder,Ewan McGregor,Ashley Judd,Patrick Bergin,109,15000000,4.5,5549,33.5,48.0,13.5,0,0,0,0,0,0,32,9,1999,1,28,2000,16500786,0,1,0,4
Eyes Wide Shut,Tom Cruise,Nicole Kidman,Sydney Pollack,159,65000000,7.0,37868,13.5,38.0,43.5,0,0,0,1,0,0,73,77,1999,7,16,1999,55691208,0,1,0,4
Face/Off,John Travolta,Nicolas Cage,Joan Allen,133,80000000,7.1,37506,13.5,48.0,53.5,1,0,0,1,0,0,83,91,1997,6,27,1997,112276146,0,1,0,4
The Faculty,Michelle Holmes,Famke Janssen,Piper Laurie,104,15000000,6.1,13143,13.5,68.0,23.5,0,0,0,0,0,0,55,54,1998,12,25,1998,40283321,0,1,1,4
Fahrenheit 9/11,Michael Moore,George W. Bush,Britney Spears,122,6000000,7.9,34666,23.5,18.0,73.5,0,0,0,0,1,0,69,83,2004,6,23,2004,119114517,0,1,0,2
Fair Game,Cindy Crawford,William Baldwin,Steven Berkoff,91,50000000,3.9,2579,43.5,48.0,13.5,1,0,1,1,0,0,14,13,1995,11,3,1995,11497497,0,1,0,4
Faithful,Cher,Chazz Palminteri,Ryan O'Neal,91,13000000,5.6,414,13.5,58.0,33.5,0,0,1,0,0,0,49,7,1996,4,5,1996,2104439,0,1,0,4
The Family Man,Nicolas Cage,Tea Leoni,Don Cheadle,125,60000000,6.5,11220,13.5,58.0,23.5,0,0,1,1,0,1,68,53,2000,12,22,2000,75764085,1,0,0,4
Far From Heaven,Julianne Moore,Dennis Quaid,Dennis Haysbert,107,13500000,7.7,9167,13.5,28.0,53.5,0,0,0,1,0,1,79,89,2002,11,8,2002,15901849,1,0,0,4
Fargo,Frances McDormand,William H. Macy,Steve Buscemi,98,7000000,8.2,65597,13.5,28.0,73.5,0,0,0,1,0,0,93,94,1996,3,8,1996,24567751,0,1,0,4
Fascination,Jacqueline Bisset,Adam Garcia,Alice Evans,95,5000000,3.3,124,33.5,18.0,33.5,0,0,0,1,0,1,24,4,2004,1,28,2005,16670,0,1,0,4
Fast Times At Ridgemont High,Sean Penn,Jennifer Jason Leigh,Judge Reinhold,90,4500000,7.1,10361,13.5,48.0,53.5,0,0,1,0,0,0,80,79,1982,8,13,1982,27092880,0,1,0,4
The Fast and the Furious,Paul Walker,Vin Diesel,Michelle Rodriguez,106,38000000,5.7,21428,13.5,48.0,33.5,1,0,0,0,0,0,74,53,2001,6,22,2001,144512310,1,0,0,4
Fatal Attraction,Michael Douglas,Glenn Close,Anne Archer,123,14000000,6.7,8541,13.5,58.0,33.5,0,0,0,1,0,0,71,78,1987,9,18,1987,156645693,0,1,0,4
Fathers' Day,Robin Williams,Billy Crystal,Julia Louis-Dreyfus,98,85000000,4.7,2714,13.5,68.0,13.5,0,0,1,0,0,0,25,19,1997,5,9,1997,28681080,1,0,0,4
Fear and Loathing in Las Vegas,Johnny Depp,Benicio Del Toro,Craig Bierko,118,18500000,7.2,21484,13.5,28.0,53.5,0,0,1,1,0,0,90,50,1998,5,22,1998,10680275,0,1,0,4
Femme Fatale,Rebecca Romijn,Antonio Banderas,Peter Coyote,114,35000000,6.4,6083,13.5,58.0,23.5,0,0,0,0,0,0,49,48,2002,11,6,2002,6630252,0,1,0,2
The Celebration (Festen),Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,105,1300000,8.2,11983,13.5,18.0,73.5,0,0,0,1,0,0,95,92,1998,10,9,1998,1647780,0,1,0,4
Fever Pitch (The Perfect Catch),Drew Barrymore,Jimmy Fallon,Jason Spevack,98,39845000,6.6,1712,13.5,38.0,53.5,0,0,1,0,0,1,60,64,2005,4,8,2005,42071069,1,0,0,4
A Few Good Men,Tom Cruise,Jack Nicholson,Demi Moore,138,33000000,7.5,25237,13.5,48.0,53.5,0,0,0,1,0,0,89,81,1992,12,11,1992,141340178,0,1,0,4
The Fifth Element,Bruce Willis,Milla Jovovich,Ian Holm,126,92500000,7.1,55398,13.5,38.0,53.5,1,0,0,1,0,0,87,71,1997,5,9,1997,63570862,1,0,0,4
Fight Club,Edward Norton,Brad Pitt,Helena Bonham Carter,139,64000000,8.5,112092,13.5,18.0,83.5,0,0,0,1,0,0,96,81,1999,10,15,1999,37030102,0,1,0,4
Final Destination,Devon Sawa,Amanda Detmer,Chad E. Donella,98,23000000,6.6,16504,13.5,48.0,33.5,0,0,0,0,0,0,69,33,2000,3,17,2000,53302314,0,1,0,4
Final Destination 2,Ali Larter,A.J. Cook,Michael Landes,90,26000000,6.3,8481,13.5,68.0,23.5,0,0,0,0,0,0,59,48,2003,1,31,2003,46896664,0,1,0,4
Final Fantasy - The Spirits Within,Ming-Na Wen,Alec Baldwin,Ving Rhames,106,137000000,6.5,16451,13.5,48.0,33.5,1,1,0,0,0,0,48,44,2001,7,11,2001,32131830,1,0,0,2
Finding Forrester,Sean Connery,Rob Brown (VI),F Murray Abraham,136,43000000,7.3,13439,13.5,48.0,53.5,0,0,0,1,0,0,79,73,2000,12,19,2000,51768623,1,0,0,1
Finding Nemo,Albert Brooks,Ellen DeGeneres,Alexander Gould,100,94000000,8.3,41846,13.5,28.0,73.5,0,1,1,1,0,0,86,99,2003,5,30,2003,380529370,1,0,0,4
Firefox,Clint Eastwood,Freddie Jones,David Huffman,136,21000000,5.5,3401,13.5,78.0,13.5,1,0,0,0,0,0,41,42,1982,6,18,1982,45785720,1,0,0,4
Firestorm,Howie Long,Scott Glenn,William Forsythe,89,19000000,4.4,987,33.5,48.0,13.5,1,0,0,0,0,0,25,12,1998,1,9,1998,8123860,0,1,0,4
The Firm,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,154,42000000,6.6,14708,13.5,68.0,23.5,0,0,0,1,0,0,64,75,1993,6,30,1993,158340892,0,1,0,2
First Blood (Rambo: First Blood),Sylvester Stallone,Richard Crenna,Brian Dennehy,97,14000000,6.8,11956,13.5,48.0,43.5,1,0,0,1,0,0,85,87,1982,10,22,1982,47212904,0,1,0,4
First Knight,Sean Connery,Richard Gere,Julia Ormond,134,75000000,5.6,8708,13.5,58.0,23.5,0,0,0,1,0,1,56,47,1995,7,7,1995,37361412,1,0,0,4
The First Wives Club,Bette Midler,Goldie Hawn,Diane Keaton,103,28000000,5.6,6434,13.5,48.0,23.5,0,0,1,0,0,0,69,39,1996,9,20,1996,105489203,1,0,0,4
Flash Gordon,Sam J. Jones,Melody Anderson,Topol,111,35000000,5.7,5626,13.5,48.0,33.5,1,0,0,0,0,0,70,81,1980,12,5,1980,27107960,1,0,0,4
Flawless,Robert De Niro,Philip Seymour Hoffman,Barry Miller,112,27000000,6.1,3287,13.5,58.0,23.5,0,0,1,1,0,0,54,44,1999,11,24,1999,4485485,0,1,1,2
Flight of the Phoenix,Dennis Quaid,Tyrese Gibson,Giovanni Ribisi,113,60000000,6.0,2732,13.5,68.0,23.5,1,0,0,0,0,0,41,30,2004,12,17,2004,21009180,1,0,0,4
The Flintstones in Viva Rock Vegas,Mark Addy,Stephen Baldwin,Kristen Johnston,90,58000000,3.7,1712,43.5,38.0,13.5,0,0,1,0,0,0,20,25,2000,4,28,2000,35231365,1,0,0,4
The Flintstones,John Goodman,Elizabeth Perkins,Rick Moranis,91,45000000,4.5,8704,23.5,58.0,13.5,0,0,1,0,0,0,24,22,1994,5,27,1994,130531208,1,0,0,4
Flirting With Disaster,Ben Stiller,Patricia Arquette,Tea Leoni,92,7000000,7.0,3986,13.5,48.0,43.5,0,0,1,0,0,0,69,86,1996,3,22,1996,14853474,0,1,0,4
The Fog,Adrienne Barbeau,Hal Holbrook,Janet Leigh,89,1000000,6.5,4618,13.5,48.0,33.5,0,0,0,0,0,0,64,68,1980,2,1,1980,21378361,0,1,0,4
For Love of the Game,Kevin Costner,Kelly Preston,John C. Reilly,137,50000000,6.1,5782,13.5,58.0,23.5,0,0,0,1,0,1,77,54,1999,9,17,1999,35188640,1,0,0,4
For Your Eyes Only,Roger Moore,Carole Bouquet,Topol,127,28000000,6.7,8061,13.5,58.0,23.5,1,0,0,0,0,0,64,73,1981,6,26,1981,54800000,1,0,0,4
The Forgotten,Julianne Moore,Dominic West,Gary Sinise,94,46000000,5.8,8234,13.5,68.0,23.5,0,0,0,1,0,0,36,31,2004,9,24,2004,66711892,1,0,0,4
Forrest Gump,Tom Hanks,Robin Wright,Gary Sinise,142,55000000,8.2,89722,13.5,28.0,83.5,0,0,1,1,0,0,95,72,1994,7,6,1994,329694499,1,0,1,2
The Forsaken,Kerr Smith,Brendan Fehr,Izabella Miko,90,5000000,5.1,1928,23.5,58.0,13.5,0,0,0,0,0,0,41,7,2001,4,27,2001,6755271,0,1,0,4
Fortress,Christopher Lambert,Loryn Locklin,Kurtwood Smith,95,12000000,5.3,2577,13.5,68.0,13.5,1,0,0,0,0,0,39,40,1993,9,3,1993,6730578,0,1,0,4
Forty Shades of Blue,Rip Torn,Dina Korzun,Darren E. Burrows,108,1500000,4.2,57,33.5,28.0,43.5,0,0,0,0,0,0,44,61,2004,9,28,2005,75828,0,1,0,2
The Four Feathers,Heath Ledger,Wes Bentley,Kate Hudson,125,57500000,6.2,4400,13.5,68.0,23.5,0,0,0,1,0,0,66,41,2002,9,20,2002,18306166,1,0,0,4
Four Rooms,Tim Roth,Valeria Golino,Jennifer Beals,98,4000000,6.0,10675,13.5,48.0,33.5,0,0,1,1,0,0,71,14,1995,12,25,1995,4301000,0,1,1,0
Four Weddings and a Funeral,Hugh Grant,Andie MacDowell,Kristin Scott Thomas,117,5250000,7.2,17820,13.5,48.0,43.5,0,0,1,1,0,1,74,95,1994,3,9,1994,52700832,0,1,0,2
Frailty,Bill Paxton,Matthew McConaughey,Powers Boothe,100,11000000,7.4,10551,13.5,38.0,53.5,0,0,0,1,0,0,79,73,2002,4,12,2002,13110448,0,1,0,4
Freaky Friday,Jamie Lee Curtis,Lindsay Lohan,Mark Harmon,97,26000000,6.9,8052,13.5,58.0,43.5,0,0,1,1,0,0,57,88,2003,8,6,2003,110222438,1,0,0,2
Freddy Got Fingered,Tom Green (III),Rip Torn,Marisa Coughlan,87,15000000,3.5,9115,43.5,18.0,23.5,0,0,1,0,0,0,57,11,2001,4,20,2001,14249005,0,1,0,4
Freddy vs. Jason,Robert Englund,Ken Kirzinger,Monica Keena,97,25000000,6.1,11109,13.5,38.0,33.5,1,0,0,0,0,0,50,41,2003,8,15,2003,82622655,0,1,0,4
Freddy's Dead - The Final Nightmare,Robert Englund,Lisa Zane,Shon Greenblatt,93,5000000,4.3,3618,23.5,48.0,13.5,0,0,1,0,0,0,35,20,1991,9,13,1991,34872033,0,1,0,4
Freeway,Reese Witherspoon,Kiefer Sutherland,Brooke Shields,102,3000000,6.5,4961,13.5,38.0,53.5,0,0,0,1,0,0,77,76,1996,8,23,1996,295493,0,1,0,4
Freeze Frame,Lee Evans,Sean McGinley,Ian McNeice,99,2000000,5.8,189,13.5,48.0,33.5,0,0,0,1,0,0,59,83,2004,12,10,2004,0,0,1,0,4
Frequency,Dennis Quaid,Jim Caviezel,Andre Braugher,118,31000000,7.4,15317,13.5,38.0,53.5,0,0,0,1,0,0,81,70,2000,4,28,2000,44983704,1,0,0,4
Frida,Salma Hayek,Alfred Molina,Geoffrey Rush,123,12000000,7.5,8614,13.5,38.0,53.5,0,0,0,1,0,0,86,76,2002,10,25,2002,25885000,0,1,0,4
Friday,Ice Cube,Chris Tucker,Nia Long,91,3500000,6.7,7020,13.5,48.0,63.5,0,0,1,1,0,0,91,77,1995,4,26,1995,27467564,0,1,0,2
Friday After Next,Ice Cube,Mike Epps,Starletta DuPois,85,15000000,4.9,1659,13.5,58.0,23.5,0,0,1,0,0,0,76,25,2002,11,22,2002,33253609,0,1,0,4
Friday Night Lights,Billy Bob Thornton,Derek Luke,Jay Hernandez,117,30000000,7.0,4290,13.5,48.0,53.5,0,0,0,1,0,0,86,81,2004,10,8,2004,61255921,1,0,0,4
